nuts,December Days With High Fire Danger (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.0008076996757433965
BG42,0.000741446319107826
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.0
BG32,0.0
BG33,0.0
BG34,0.0
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0
AL02,0.0
AL03,0.0033295733424333427
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,0.2613152333606894
ES51,0.22232869525368398
ES52,0.40329348618307936
ES53,0.01710080527342283
ES61,0.4719839941423673
ES62,0.4314948245882988
ES63,0.0
ES64,0.0
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,0.45299247193794984
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.0
EL54,0.0
EL61,0.0
EL62,0.0
EL63,0.0
ES70,0.0
ITC1,0.0
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,0.07692307692307693
LV00,0.0
ME00,0.0
MK00,0.0
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.0
EL65,0.0018245454591054183
ES11,0.0021812749596742485
ES12,0.0
ES13,0.0
ES21,0.0
ES22,0.048454312464365594
ES23,0.01866758786714994
ES24,0.3526638015531577
ES30,0.2652535604742857
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.0
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.068612151994155
ES42,0.3371046895089631
HU23,0.0
HU31,0.0
HU32,0.0
HU33,0.0
IE04,0.0
EE00,0.0
EL30,0.0
EL41,0.0
EL43,0.359201206610753
EL51,0.001298104627774312
EL52,0.0
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.015970164623398047
ITH1,0.0
ITH2,0.0
FRI3,0.0
FRJ1,0.021676931243676405
FRJ2,0.0030383476271079136
FRK1,0.0
FRK2,0.0015460410370276524
FRL0,0.031145440557828315
FRM0,0.011092398029107314
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.005949084288798845
TR32,0.08959822012827946
TR33,0.09910037264657709
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.12430666730954097
PT17,0.2691848828242375
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.0
FRI1,0.0
FRI2,0.0
ITC4,0.0
ITF1,0.0
ITF2,0.0
ITF3,0.0
ITF4,0.0012517360827097525
ITF5,0.0
ITF6,0.0
ITG1,0.01012627837749628
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,0.5128389976632136
PT20,0.0
PT30,0.0
RO11,0.0
RO12,0.00048076966777443886
RO21,0.0
RO22,0.000496402382850647
RO31,0.0
RO32,0.0
ITH3,0.0
ITH4,0.0
ITH5,0.0
ITI1,0.0
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.010472616897179531
TR83,0.008557896201427165
TR90,0.006415360535566623
TRA1,0.017109196704740707
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.00590451556042983
PT15,0.8021076917648315
TRB1,0.06015987199946092
TRB2,0.05760851273169884
TRC1,0.1777961367311386
RS12,0.0
RS21,0.0
RS22,0.0
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.022791619340960797
TRC2,0.2600602449562687
TRC3,0.3270719274878502
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.0
RO42,0.0
RS11,0.0
TR41,0.035224732871239
TR42,0.004003530153288291
TR51,0.10370845247346622
TR52,0.276121223381219
TR61,0.10950105737608212
TR62,0.2593563881774361
TR63,0.18273078435315535
TR71,0.17830981525520867
TR72,0.1283596158027649
TR81,0.0020215981281720675
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0030998865572305825
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.0
TR21,0.0
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
